web-scraper-order	web-scraper-start-url	                                                        Hour UTC	        Hour DK	            Price area	Central Power	Local Power	CommercialPowerMWh	Commercial power self-consumption	Offshore Wind (<100MW) MWh	Offshore Wind (>=100MW) MWh	Onshore wind < 50 kW	Onshore wind >= 50 kW	Hydro Power MWh	Solar power 0-10 kW	Solar power 10-40 kW	Solar power over 40 kW	Solar power Self-consumption MWh	Unknown production MWh	Exchange of Energy to Norway	Exchange of Energy to Sweden	Exchange of Energy to Germany	Exchange of Energy to the Netherlands	Exchange of Energy over the Great Belt	Gross consumption	Transmission Grid Loss	Transmission Grid Loss, interconnectors	Distribution Grid Loss MWh	Power To Heat
1699276491-82	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 05.00Z	2023-10-27 07.00	DK2	51,8	67,5	232,6	10,1	13,4	483,1	0,3	111,8	0,0	0,2	0,0	0,0	0,0	5,3		1.218,4	-154,6		-294,6	1.745,3	27,2	0,0	60,1	27,7
1699276491-83	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 04.00Z	2023-10-27 06.00	DK1	463,6	342,5	87,9	11,6	73,2	456,1	3,1	568,0	3,3	0,1	0,0	0,1	0,0	0,0	1.623,6	716,5	-1.864,2	-408,3	494,8	2.571,9	78,2	27,8	93,9	19,9
1699276491-84	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 04.00Z	2023-10-27 06.00	DK2	39,1	65,9	203,3	9,9	13,3	467,4	0,3	117,8	0,0	0,1	0,0	0,0	0,0	5,3		1.298,0	-161,3		-502,9	1.556,1	28,8	0,0	60,0	54,0
1699276491-85	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 03.00Z	2023-10-27 05.00	DK1	376,8	170,4	83,5	10,6	63,5	399,8	2,9	523,6	3,3	0,1	0,0	0,1	0,0	0,1	1.623,3	716,4	-1.603,4	-697,1	584,5	2.258,3	74,2	38,6	82,6	31,4
1699276491-86	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 03.00Z	2023-10-27 05.00	DK2	23,7	53,7	114,8	9,8	13,0	523,3	0,3	129,1	0,0	0,1	0,0	0,0	0,0	4,9		1.243,5	-159,6		-594,6	1.362,0	30,9	0,0	54,4	53,3
1699276491-87	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 02.00Z	2023-10-27 04.00	DK1	441,2	131,0	81,7	10,4	52,4	308,0	2,5	492,3	3,3	0,1	0,0	0,1	0,0	0,1	1.623,3	716,4	-1.441,4	-702,7	587,9	2.306,3	72,5	38,8	81,8	94,8
1699276491-88	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 02.00Z	2023-10-27 04.00	DK2	24,2	44,9	107,2	9,7	12,9	537,4	0,3	134,2	0,0	0,1	0,0	0,0	0,0	4,0		1.202,9	-169,6		-598,0	1.310,2	27,2	0,0	53,6	53,1
1699276491-89	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 01.00Z	2023-10-27 03.00	DK1	491,9	131,2	82,4	10,6	52,1	296,8	2,5	514,2	3,3	0,1	0,0	0,1	0,0	0,1	1.623,6	716,5	-1.509,5	-702,8	587,8	2.300,8	74,6	38,7	82,8	71,5
1699276491-90	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 01.00Z	2023-10-27 03.00	DK2	24,1	44,8	106,7	9,6	12,9	503,6	0,2	129,5	0,0	0,1	0,0	0,0	0,0	3,4		1.263,9	-180,3		-598,0	1.320,3	31,1	0,0	54,8	54,4
1699276491-91	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 00.00Z	2023-10-27 02.00	DK1	380,5	119,9	80,9	10,3	53,0	313,5	2,6	501,2	3,3	0,1	0,0	0,1	0,0	0,1	1.623,8	716,2	-1.335,0	-700,3	587,9	2.358,1	72,3	38,8	86,0	122,6
1699276491-92	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 00.00Z	2023-10-27 02.00	DK2	23,7	45,7	134,0	9,4	10,4	496,7	0,2	123,9	0,0	0,1	0,0	0,0	0,0	3,1		1.244,5	-175,5		-598,0	1.318,1	28,2	0,0	55,0	54,3
1699276491-93	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-26 23.00Z	2023-10-27 01.00	DK1	354,5	112,1	82,3	10,2	52,9	322,3	2,3	501,6	3,3	0,1	0,0	0,1	0,0	0,1	1.623,5	716,2	-1.437,2	-597,2	587,9	2.335,0	71,7	34,1	87,2	112,8
1699276491-94	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-26 23.00Z	2023-10-27 01.00	DK2	23,7	46,3	148,4	9,5	11,0	522,1	0,2	115,8	0,0	0,1	0,0	0,0	0,0	4,3		1.245,6	-168,7		-597,9	1.360,4	30,2	0,0	54,9	64,0
1699276491-95	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-26 22.00Z	2023-10-27 00.00	DK1	405,4	118,9	81,3	9,6	56,3	361,4	2,0	462,8	3,1	0,1	0,0	0,1	0,0	0,1	1.623,6	716,1	-1.570,4	-638,7	587,9	2.219,5	74,6	35,5	85,8	12,9
1699276491-96	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-26 22.00Z	2023-10-27 00.00	DK2	23,4	49,1	193,5	9,5	9,1	543,2	0,2	113,4	0,0	0,1	0,0	0,0	0,0	4,5		1.207,8	-169,5		-598,0	1.386,3	26,2	0,0	56,3	54,2
1699276491-97	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-26 21.00Z	2023-10-26 23.00	DK1	536,3	191,4	81,1	9,8	63,8	390,3	2,1	495,0	2,7	0,1	0,0	0,1	0,0	0,1	1.623,8	709,9	-1.694,1	-619,1	559,3	2.352,5	78,2	34,4	86,5	56,0
1699276491-98	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-26 21.00Z	2023-10-26 23.00	DK2	34,1	65,1	199,2	9,6	9,1	551,8	0,2	110,6	0,0	0,1	0,0	0,0	0,0	5,1		1.197,4	-146,5		-568,6	1.467,3	29,7	0,0	59,9	54,6
1699276491-99	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-26 20.00Z	2023-10-26 22.00	DK1	468,6	165,1	74,6	11,5	67,6	481,2	2,7	560,9	2,7	0,1	0,0	0,1	0,0	0,2	1.623,6	629,8	-1.690,2	-554,8	572,3	2.415,9	77,2	28,7	90,9	8,7
1699276491-100	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-26 20.00Z	2023-10-26 22.00	DK2	52,5	56,0	189,1	9,8	13,3	535,2	0,3	113,2	0,0	0,1	0,0	0,0	0,0	4,6		1.170,0	-34,3		-581,8	1.527,9	29,8	0,0	59,9	53,9
