web-scraper-order	web-scraper-start-url	                                                        Hour UTC	        Hour DK	            Price area	Central Power	Local Power	CommercialPowerMWh	Commercial power self-consumption	Offshore Wind (<100MW) MWh	Offshore Wind (>=100MW) MWh	Onshore wind < 50 kW	Onshore wind >= 50 kW	Hydro Power MWh	Solar power 0-10 kW	Solar power 10-40 kW	Solar power over 40 kW	Solar power Self-consumption MWh	Unknown production MWh	Exchange of Energy to Norway	Exchange of Energy to Sweden	Exchange of Energy to Germany	Exchange of Energy to the Netherlands	Exchange of Energy over the Great Belt	Gross consumption	Transmission Grid Loss	Transmission Grid Loss, interconnectors	Distribution Grid Loss MWh	Power To Heat
1699276491-31	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 06.00Z	2023-10-28 08.00	DK1	296,6	171,3	93,6	13,8	171,9	658,1	4,1	759,0	3,1	0,1	0,0	4,7	0,0	0,0	1.609,4	716,0	-1.735,8	-699,7	476,7	2.542,9	80,2	48,0	88,2	51,9
1699276491-32	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 06.00Z	2023-10-28 08.00	DK2	47,4	54,7	138,0	13,8	11,5	578,7	0,3	149,9	0,0	0,2	0,0	1,7	0,0	3,7		1.177,5	-162,5		-484,2	1.530,8	27,1	0,0	62,6	59,8
1699276491-33	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 05.00Z	2023-10-28 07.00	DK1	256,1	132,6	92,0	12,1	166,7	613,0	4,2	737,7	3,1	0,1	0,0	0,1	0,0	0,0	1.600,0	707,3	-1.659,1	-698,8	541,9	2.509,3	85,2	55,6	83,3	145,2
1699276491-34	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 05.00Z	2023-10-28 07.00	DK2	33,3	54,1	131,7	13,3	12,7	565,5	0,3	139,8	0,0	0,2	0,0	0,0	0,0	3,4		1.184,8	-168,9		-551,1	1.419,1	27,4	0,0	57,9	54,6
1699276491-35	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 04.00Z	2023-10-28 06.00	DK1	174,9	116,2	86,4	11,2	170,0	666,4	4,6	731,0	3,1	0,1	0,0	0,1	0,0	0,0	1.278,1	696,6	-1.624,9	-535,6	582,4	2.360,6	77,8	47,2	84,3	205,6
1699276491-36	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 04.00Z	2023-10-28 06.00	DK2	33,9	38,2	132,0	13,0	18,3	570,7	0,3	124,0	0,0	0,1	0,0	0,0	0,0	2,1		1.140,9	-167,4		-592,3	1.314,0	27,3	0,0	54,1	56,7
1699276491-37	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 03.00Z	2023-10-28 05.00	DK1	233,3	98,4	84,6	12,1	164,5	632,5	4,6	723,9	3,1	0,1	0,0	0,1	0,0	0,0	1.322,7	435,2	-1.588,6	-407,2	571,1	2.290,4	74,4	39,2	83,2	224,1
1699276491-38	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 03.00Z	2023-10-28 05.00	DK2	33,5	44,8	133,8	13,4	22,0	598,4	0,3	128,4	0,0	0,1	0,0	0,0	0,0	1,7		1.064,5	-158,7		-580,6	1.301,6	27,7	0,0	53,7	72,8
1699276491-39	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 02.00Z	2023-10-28 04.00	DK1	256,4	92,8	88,3	11,3	153,0	623,3	4,8	731,4	3,1	0,1	0,0	0,1	0,0	0,0	1.148,2	394,6	-1.664,2	42,8	541,5	2.427,4	68,8	31,9	83,0	262,7
1699276491-40	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 02.00Z	2023-10-28 04.00	DK2	33,3	46,4	134,5	13,1	23,3	568,8	0,2	126,5	0,0	0,1	0,0	0,0	0,0	1,2		1.106,7	-179,5		-550,3	1.324,3	27,4	0,0	55,2	71,8
1699276491-41	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 01.00Z	2023-10-28 03.00	DK1	302,7	89,5	87,6	11,4	139,0	550,1	4,9	734,7	3,1	0,1	0,0	0,1	0,0	0,0	894,3	173,6	-529,7	-466,6	448,5	2.443,4	52,9	69,5	88,1	267,5
1699276491-42	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 01.00Z	2023-10-28 03.00	DK2	33,8	47,0	133,9	13,1	22,1	495,6	0,2	125,0	0,0	0,1	0,0	0,0	0,0	1,5		1.191,7	-239,1		-455,2	1.369,8	36,4	0,0	57,5	75,3
1699276491-43	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 00.00Z	2023-10-28 02.00	DK1	277,3	87,6	88,0	11,1	151,9	541,7	5,1	742,4	3,1	0,1	0,0	0,1	0,0	0,0	1.147,7	679,7	-1.066,6	-697,5	439,4	2.411,1	65,2	72,5	86,3	235,6
1699276491-44	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-28 00.00Z	2023-10-28 02.00	DK2	33,6	47,2	135,5	13,0	16,6	401,2	0,2	107,9	0,0	0,1	0,0	0,0	0,0	1,9		1.246,8	-192,1		-445,9	1.366,0	26,4	0,0	57,2	65,4
1699276491-45	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 23.00Z	2023-10-28 01.00	DK1	316,5	94,5	86,5	11,0	144,4	551,2	5,1	744,7	3,1	0,1	0,0	0,1	0,0	0,0	1.306,5	716,3	-1.311,5	-680,4	327,5	2.315,5	70,3	55,6	84,4	171,9
1699276491-46	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 23.00Z	2023-10-28 01.00	DK2	33,8	48,7	100,8	13,0	15,3	346,1	0,2	114,9	0,0	0,1	0,0	0,0	0,0	2,3		1.297,4	-250,2		-331,9	1.390,4	28,5	0,0	57,8	63,6
1699276491-47	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 22.00Z	2023-10-28 00.00	DK1	395,1	133,5	84,8	12,5	158,1	556,4	5,3	788,8	3,1	0,1	0,0	0,1	0,0	0,0	1.603,2	716,1	-1.648,9	-702,1	224,0	2.330,1	77,8	53,4	81,5	156,5
1699276491-48	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 22.00Z	2023-10-28 00.00	DK2	34,2	55,0	51,9	13,0	12,8	331,1	0,2	117,6	0,0	0,1	0,0	0,0	0,0	2,8		1.282,3	-258,8		-227,0	1.415,2	28,7	0,0	45,5	52,6
1699276491-49	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 21.00Z	2023-10-27 23.00	DK1	283,3	123,3	85,0	13,0	135,3	576,9	5,6	837,5	3,3	0,1	0,0	0,1	0,0	0,0	1.599,9	715,9	-1.477,9	-702,6	164,0	2.362,6	74,1	40,5	88,4	148,9
1699276491-50	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 21.00Z	2023-10-27 23.00	DK2	38,7	68,9	82,7	13,0	13,8	358,6	0,2	123,4	0,0	0,1	0,0	0,0	0,0	2,5		1.142,7	-254,7		-166,4	1.423,5	24,0	0,0	59,6	47,5
1699276491-51	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 20.00Z	2023-10-27 22.00	DK1	355,4	133,6	84,3	13,9	102,2	652,0	5,9	912,1	3,3	0,1	0,0	0,1	0,0	0,0	1.619,5	715,9	-1.627,0	-702,5	200,5	2.469,3	78,7	39,7	91,5	153,1
1699276491-52	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 20.00Z	2023-10-27 22.00	DK2	51,0	69,8	119,3	12,9	15,1	427,7	0,2	131,2	0,0	0,1	0,0	0,0	0,0	3,3		1.138,3	-249,8		-203,3	1.515,8	24,6	0,0	62,2	54,8
1699276491-53	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 19.00Z	2023-10-27 21.00	DK1	388,2	158,3	84,7	13,6	104,2	658,9	5,7	933,5	3,4	0,1	0,0	0,1	0,0	0,1	1.624,1	715,7	-1.769,0	-702,6	313,6	2.532,5	82,7	38,5	94,6	99,3
1699276491-54	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 19.00Z	2023-10-27 21.00	DK2	56,0	71,6	151,8	12,9	14,3	478,5	0,2	145,8	0,0	0,1	0,0	0,0	0,0	3,2		1.223,2	-228,0		-317,9	1.611,7	27,8	0,0	66,1	61,7
1699276491-55	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 18.00Z	2023-10-27 20.00	DK1	438,1	259,7	88,4	14,1	103,6	614,5	5,5	918,9	3,4	0,1	0,0	0,1	0,0	0,1	1.623,9	715,7	-1.753,0	-702,6	312,1	2.642,3	80,6	38,4	95,1	93,8
1699276491-56	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 18.00Z	2023-10-27 20.00	DK2	55,9	74,3	217,2	13,1	13,9	515,1	0,3	157,3	0,0	0,1	0,0	0,0	0,0	3,9		1.162,4	-207,0		-316,3	1.690,3	26,3	0,0	67,9	50,7
1699276491-57	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 17.00Z	2023-10-27 19.00	DK1	493,3	346,5	91,3	15,1	114,9	617,8	5,2	895,8	3,4	0,1	0,0	0,1	0,0	0,1	1.623,6	706,6	-1.818,5	-702,4	296,4	2.689,3	84,0	38,1	102,7	15,4
1699276491-58	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 17.00Z	2023-10-27 19.00	DK2	54,8	81,1	215,8	13,3	13,9	552,2	0,3	175,6	0,0	0,2	0,0	0,0	0,0	3,9		1.154,8	-188,2		-300,4	1.777,3	26,7	0,0	66,3	23,5
1699276491-59	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 16.00Z	2023-10-27 18.00	DK1	440,6	339,5	92,4	13,7	120,9	599,8	4,7	831,3	3,4	0,2	0,0	0,2	0,0	0,1	1.619,4	627,6	-1.402,2	-683,8	355,7	2.963,4	72,9	34,2	110,1	64,6
1699276491-60	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 16.00Z	2023-10-27 18.00	DK2	56,0	79,9	216,3	13,6	13,2	594,5	0,3	173,7	0,0	0,2	0,0	0,0	0,0	4,1		1.028,2	81,6		-360,6	1.900,9	34,2	0,0	72,0	4,0
1699276491-61	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 15.00Z	2023-10-27 17.00	DK1	456,1	322,6	90,9	13,0	105,5	489,0	4,7	785,4	3,4	0,2	0,0	5,6	0,0	0,1	1.624,1	648,2	-1.741,4	-53,3	284,2	3.038,2	70,7	17,7	112,9	81,6
1699276491-62	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 15.00Z	2023-10-27 17.00	DK2	56,2	83,3	230,5	13,9	9,2	552,1	0,3	177,1	0,0	0,3	0,0	1,1	0,0	5,0		897,2	155,4		-288,1	1.893,7	31,8	0,0	70,8	5,1
1699276491-63	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 14.00Z	2023-10-27 16.00	DK1	429,5	275,4	87,0	14,6	84,7	421,5	5,0	794,1	3,4	0,7	0,1	44,9	0,0	0,1	1.624,7	711,6	-1.306,2	-479,8	188,0	2.899,4	68,1	29,3	105,0	83,0
1699276491-64	https://www.energidataservice.dk/tso-electricity/productionconsumptionsettlement	2023-10-27 14.00Z	2023-10-27 16.00	DK2	55,7	76,0	228,3	14,6	9,3	487,3	0,3	176,7	0,0	0,4	0,1	10,3	1,4	4,9		974,8	-32,2		-190,4	1.817,4	27,2	0,0	65,2	35,5
